full_name,make,msrp_high,msrp_low,vehicle_model,year
2019 Acura ILX,Acura,32545.0,26895.0,ILX,2019
2019 Acura MDX,Acura,61045.0,45295.0,MDX,2019
2019 Acura NSX,Acura,159300.0,159300.0,NSX,2019
2019 Acura RDX,Acura,48395.0,38295.0,RDX,2019
2019 Acura RLX,Acura,62895.0,62895.0,RLX,2019
2019 Acura TLX,Acura,46945.0,33995.0,TLX,2019
2019 Aston Martin DB11,Aston,243825.0,201820.0,DB11,2019
2019 Aston Martin Vantage,Aston,152820.0,152820.0,Vantage,2019
2019 BMW 2 Series,BMW,53395.0,36295.0,2 Series,2019
2019 BMW 3 Series,BMW,52245.0,45995.0,3 Series,2019
2019 BMW 4 Series,BMW,62995.0,45595.0,4 Series,2019
2019 BMW 5 Series,BMW,75445.0,54395.0,5 Series,2019
2019 BMW 6 Series,BMW,125395.0,71295.0,6 Series,2019
2019 BMW 7 Series,BMW,157695.0,84645.0,7 Series,2019
2019 BMW 8 Series,BMW,112895.0,112895.0,8 Series,2019
2019 BMW i8,BMW,164295.0,148495.0,i8,2019
2019 BMW M2,BMW,59895.0,59895.0,M2,2019
2019 BMW M4,BMW,104095.0,70145.0,M4,2019
2019 BMW M5,BMW,110995.0,103695.0,M5,2019
2019 BMW M6,BMW,120895.0,120895.0,M6,2019
2019 BMW X3,BMW,55645.0,41995.0,X3,2019
2019 BMW X4,BMW,61445.0,51445.0,X4,2019
2019 BMW X5,BMW,76745.0,61695.0,X5,2019
2019 BMW X6,BMW,79295.0,64545.0,X6,2019
2019 BMW X6 M,BMW,106695.0,106695.0,X6 M,2019
2019 Buick Cascada,Buick,37995.0,33995.0,Cascada,2019
2019 Buick Enclave,Buick,56995.0,41195.0,Enclave,2019
2019 Buick Encore,Buick,31795.0,24195.0,Encore,2019
2019 Buick Envision,Buick,44795.0,33190.0,Envision,2019
2019 Buick LaCrosse,Buick,47995.0,30495.0,LaCrosse,2019
2019 Buick Regal Sportback,Buick,39995.0,25995.0,Regal Sportback,2019
2019 Buick Regal TourX,Buick,35995.0,29995.0,Regal TourX,2019
2019 Cadillac ATS Coupe,Cadillac,51890.0,39990.0,ATS Coupe,2019
2019 Cadillac ATS-V Coupe,Cadillac,68790.0,68790.0,ATS-V Coupe,2019
2019 Cadillac CT6 Sedan,Cadillac,87790.0,51490.0,CT6 Sedan,2019
2019 Cadillac CTS Sedan,Cadillac,72790.0,47990.0,CTS Sedan,2019
2019 Cadillac CTS-V Sedan,Cadillac,87990.0,87990.0,CTS-V Sedan,2019
2019 Cadillac Escalade,Cadillac,98590.0,76490.0,Escalade,2019
2019 Cadillac Escalade ESV,Cadillac,101590.0,79490.0,Escalade ESV,2019
2019 Cadillac XT4,Cadillac,42790.0,35790.0,XT4,2019
2019 Cadillac XT5,Cadillac,66890.0,42690.0,XT5,2019
2019 Cadillac XTS,Cadillac,73990.0,47790.0,XTS,2019
2019 Chevrolet Blazer,Chevrolet,46795.0,29995.0,Blazer,2019
2019 Chevrolet Bolt EV,Chevrolet,41780.0,37495.0,Bolt EV,2019
2019 Chevrolet Camaro,Chevrolet,68495.0,25995.0,Camaro,2019
2019 Chevrolet Colorado,Chevrolet,43495.0,21495.0,Colorado,2019
2019 Chevrolet Corvette,Chevrolet,123995.0,56590.0,Corvette,2019
2019 Chevrolet Cruze,Chevrolet,26995.0,18870.0,Cruze,2019
2019 Chevrolet Equinox,Chevrolet,36795.0,24995.0,Equinox,2019
2019 Chevrolet Express Passenger,Chevrolet,39195.0,36095.0,Express Passenger,2019
2019 Chevrolet Impala,Chevrolet,37595.0,28895.0,Impala,2019
2019 Chevrolet Malibu,Chevrolet,32545.0,22965.0,Malibu,2019
2019 Chevrolet Silverado 1500,Chevrolet,58095.0,29795.0,Silverado 1500,2019
2019 Chevrolet Silverado 1500 LD,Chevrolet,45495.0,35995.0,Silverado 1500 LD,2019
2019 Chevrolet Silverado 2500HD,Chevrolet,60295.0,38995.0,Silverado 2500HD,2019
2019 Chevrolet Silverado 3500HD,Chevrolet,60695.0,41595.0,Silverado 3500HD,2019
2019 Chevrolet Sonic,Chevrolet,22395.0,16295.0,Sonic,2019
2019 Chevrolet Spark,Chevrolet,18595.0,14095.0,Spark,2019
2019 Chevrolet Suburban,Chevrolet,86995.0,50795.0,Suburban,2019
2019 Chevrolet Tahoe,Chevrolet,66895.0,47995.0,Tahoe,2019
2019 Chevrolet Traverse,Chevrolet,54195.0,31125.0,Traverse,2019
2019 Chevrolet Trax,Chevrolet,30095.0,22295.0,Trax,2019
2019 Chevrolet Volt,Chevrolet,38995.0,34395.0,Volt,2019
2019 Chevrolet 3500 LCF Gas,Chevrolet,N/A,N/A,3500 LCF Gas,2019
2019 Chevrolet 4500 LCF Gas,Chevrolet,N/A,N/A,4500 LCF Gas,2019
2019 Chevrolet 4500HD LCF Diesel,Chevrolet,59525.0,53625.0,4500HD LCF Diesel,2019
2019 Chevrolet 4500XD LCF Diesel,Chevrolet,61150.0,55250.0,4500XD LCF Diesel,2019
2019 Chevrolet 5500HD LCF Diesel,Chevrolet,65415.0,58365.0,5500HD LCF Diesel,2019
2019 Chevrolet 5500XD LCF Diesel,Chevrolet,67285.0,60225.0,5500XD LCF Diesel,2019
2019 Chevrolet 6500XD LCF Diesel,Chevrolet,85535.0,84650.0,6500XD LCF Diesel,2019
2019 Chevrolet Express Cargo Van,Chevrolet,36995.0,32795.0,Express Cargo Van,2019
2019 Chevrolet Silverado MD,Chevrolet,61720.0,48465.0,Silverado MD,2019
2019 Chrysler 300,Chrysler,43090.0,30390.0,300,2019
2019 Chrysler Pacifica,Chrysler,46790.0,28390.0,Pacifica,2019
2019 Dodge Challenger,Dodge,60045.0,28990.0,Challenger,2019
2019 Dodge Charger,Dodge,66740.0,30390.0,Charger,2019
2019 Dodge Durango,Dodge,64390.0,31390.0,Durango,2019
2019 Dodge Grand Caravan,Dodge,35890.0,28045.0,Grand Caravan,2019
2019 FIAT 124 Spider,FIAT,30585.0,26290.0,124 Spider,2019
2019 FIAT 500L,FIAT,25615.0,23045.0,500L,2019
2019 FIAT 500X,FIAT,N/A,N/A,500X,2019
2019 Ford EcoSport,Ford,28605.0,20990.0,EcoSport,2019
2019 Ford Edge,Ford,43350.0,30990.0,Edge,2019
2019 Ford Escape,Ford,35115.0,25100.0,Escape,2019
2019 Ford Expedition,Ford,77810.0,49825.0,Expedition,2019
2019 Ford Expedition Max,Ford,80495.0,53520.0,Expedition Max,2019
2019 Ford Explorer,Ford,55160.0,33360.0,Explorer,2019
2019 Ford F-150,Ford,72055.0,29650.0,F-150,2019
2019 Ford Fiesta,Ford,22215.0,15135.0,Fiesta,2019
2019 Ford Flex,Ford,44585.0,31570.0,Flex,2019
2019 Ford Fusion,Ford,40910.0,23735.0,Fusion,2019
2019 Ford Fusion Energi,Ford,37490.0,37490.0,Fusion Energi,2019
2019 Ford Fusion Hybrid,Ford,35380.0,28450.0,Fusion Hybrid,2019
2019 Ford Mustang,Ford,60135.0,27115.0,Mustang,2019
2019 Ford Ranger,Ford,39480.0,25095.0,Ranger,2019
2019 Ford Super Duty F-250 SRW,Ford,81935.0,34645.0,Super Duty F-250 SRW,2019
2019 Ford Super Duty F-350 DRW,Ford,84585.0,37305.0,Super Duty F-350 DRW,2019
2019 Ford Super Duty F-350 SRW,Ford,83110.0,35815.0,Super Duty F-350 SRW,2019
2019 Ford Super Duty F-450 DRW,Ford,88000.0,48870.0,Super Duty F-450 DRW,2019
2019 Ford Taurus,Ford,43970.0,28795.0,Taurus,2019
2019 Ford Transit Connect Wagon,Ford,32790.0,28040.0,Transit Connect Wagon,2019
2019 Ford Transit Passenger Wagon,Ford,46460.0,37235.0,Transit Passenger Wagon,2019
2019 Ford Fusion Taxi,Ford,30435.0,30435.0,Fusion Taxi,2019
2019 Ford Transit Connect Van,Ford,28240.0,25295.0,Transit Connect Van,2019
2019 Ford Transit Van,Ford,43600.0,34530.0,Transit Van,2019
2019 GMC Acadia,GMC,48695.0,30195.0,Acadia,2019
2019 GMC Canyon,GMC,45095.0,22395.0,Canyon,2019
2019 GMC Savana Passenger,GMC,39195.0,36095.0,Savana Passenger,2019
2019 GMC Sierra 1500,GMC,59795.0,31095.0,Sierra 1500,2019
2019 GMC Sierra 1500 Limited,GMC,45195.0,36595.0,Sierra 1500 Limited,2019
2019 GMC Sierra 2500HD,GMC,61095.0,39595.0,Sierra 2500HD,2019
2019 GMC Sierra 3500HD,GMC,61395.0,42095.0,Sierra 3500HD,2019
2019 GMC Terrain,GMC,40695.0,26195.0,Terrain,2019
2019 GMC Yukon,GMC,70895.0,50795.0,Yukon,2019
2019 GMC Yukon XL,GMC,73595.0,53495.0,Yukon XL,2019
2019 GMC Savana Cargo Van,GMC,36995.0,32795.0,Savana Cargo Van,2019
2019 Honda Civic Coupe,Honda,27745.0,21545.0,Civic Coupe,2019
2019 Honda Civic Sedan,Honda,28195.0,20345.0,Civic Sedan,2019
2019 Honda Fit,Honda,22415.0,17085.0,Fit,2019
2019 Honda HR-V,Honda,29535.0,21515.0,HR-V,2019
2019 Honda Insight,Honda,28985.0,23725.0,Insight,2019
2019 Honda Odyssey,Honda,47965.0,31085.0,Odyssey,2019
2019 Honda Pilot,Honda,49015.0,32445.0,Pilot,2019
2019 Honda Ridgeline,Honda,44415.0,30985.0,Ridgeline,2019
